iter	Passed	Remaining
486	596	628
487	596	626
488	597	624
489	597	622
490	598	620
491	598	618
492	602	619
493	603	618
494	604	616
495	605	614
496	605	613
497	606	611
498	607	609
499	607	607
500	608	605
501	608	603
502	609	602
503	609	600
504	610	598
505	611	596
506	611	594
507	612	592
508	612	590
509	613	589
510	613	587
511	614	585
512	618	587
513	619	585
514	620	583
515	620	582
516	621	580
517	621	578
518	622	576
519	623	575
520	623	573
521	624	571
522	624	569
523	625	568
524	626	566
525	626	564
526	627	562
527	627	561
528	628	559
529	628	557
530	629	555
531	633	557
532	634	556
533	635	554
534	637	553
535	638	552
536	638	550
537	639	549
538	640	547
539	640	545
540	641	544
541	642	542
542	642	541
543	643	539
544	643	537
545	647	538
546	648	537
547	649	535
548	649	533
549	650	532
550	651	530
551	651	528
552	652	527
553	652	525
554	653	524
555	654	522
556	654	520
557	655	519
558	656	517
559	704	553
560	705	552
561	706	550
562	707	549
563	711	550
564	712	548
565	713	547
566	714	545
567	715	544
568	716	542
569	717	541
570	718	539
571	718	537
572	719	536
573	720	534
574	721	533
575	722	531
576	726	532
577	727	531
578	728	529
579	729	528
580	730	526
581	731	525
582	732	523
583	733	522
584	734	520
585	735	519
586	735	517
587	736	516
588	737	514
589	741	515
590	742	513
591	744	513
592	745	511
593	746	510
594	747	509
595	749	508
596	750	506
597	751	505
598	752	503
599	753	502
600	759	504
601	760	502
602	761	501
603	762	499
604	763	498
605	763	496
606	764	494
607	765	493
608	765	491
609	774	495
610	776	494
611	777	492
612	778	491
613	779	489
614	780	488
615	791	493
616	794	492
617	794	491
618	795	489
619	796	488
620	796	486
621	797	484
622	798	482
623	798	481
624	799	479
625	799	477
626	804	478
627	805	477
628	806	475
629	807	473
630	807	472
631	808	470
632	808	468
633	809	467
634	809	465
635	810	463
636	811	462
637	811	460
638	812	459
639	813	457
640	813	455
641	814	454
642	814	452
643	819	452
644	820	451
645	820	449
646	821	448
647	821	446
648	822	444
649	823	443
650	823	441
651	824	440
652	825	438
653	825	436
654	826	435
655	826	433
656	827	431
657	827	430
658	828	428
659	828	427
660	829	425
661	836	426
662	837	425
663	838	424
664	838	422
665	839	420
666	839	419
667	840	417
668	841	416
669	841	414
670	842	413
671	843	411
672	843	409
673	843	408
674	844	406
675	844	404
676	845	403
677	849	403
678	850	402
679	851	400
680	851	399
681	852	397
682	853	395
683	853	394
684	854	392
685	854	391
686	855	389
687	855	388
688	856	386
689	857	385
690	857	383
691	858	381
692	858	380
693	859	378
694	859	377
695	860	375
696	860	374
697	866	374
698	867	373
699	868	372
700	868	370
701	869	369
702	870	367
703	870	366
704	871	364
705	871	363
706	872	361
707	873	360
708	874	358
709	874	357
710	875	355
711	875	354
712	881	354
713	882	353
714	883	352
715	883	350
716	884	349
717	885	347
718	885	346
719	887	344
720	887	343
721	889	342
722	889	340
723	890	339
724	896	340
725	897	338
726	898	337
727	899	335
728	899	334
729	900	333
730	903	332
731	904	331
732	904	329
733	906	328
734	907	327
735	908	325
736	909	324
737	910	323
738	911	321
739	911	320
740	912	318
741	913	317
742	914	316
743	915	314
744	915	313
745	916	312
746	916	310
747	920	310
748	921	308
749	922	307
750	922	305
751	923	304
752	923	303
753	924	301
754	924	300
755	925	298
756	925	297
757	926	295
758	926	294
759	927	292
760	927	291
761	928	289
762	928	288
763	929	287
764	929	285
765	930	284
766	930	282
767	931	281
768	931	279
769	937	279
770	938	278
771	939	277
772	939	276
773	940	274
774	941	273
775	941	271
776	942	270
777	943	269
778	944	267
779	944	266
780	945	265
781	945	263
782	946	262
783	946	260
784	947	259
785	950	258
786	951	257
787	952	256
788	953	254
789	953	253
790	954	252
791	955	250
792	955	249
793	956	248
794	956	246
795	957	245
796	958	244
797	958	242
798	959	241
799	959	239
800	960	238
801	960	237
802	961	235
803	961	234
804	962	233
805	967	232
806	968	231
807	968	230
808	969	228
809	969	227
810	970	226
811	970	224
812	970	223
813	971	221
814	971	220
815	972	219
816	972	217
817	973	216
818	974	215
819	974	213
820	975	212
821	975	211
822	976	209
823	976	208
824	977	207
825	977	205
826	980	205
827	981	203
828	981	202
829	982	201
830	982	199
831	983	198
832	983	197
833	984	195
834	984	194
835	985	193
836	985	191
837	986	190
838	986	189
839	987	188
840	987	186
841	988	185
842	988	184
843	989	182
844	989	181
845	990	180
846	990	178
847	991	177
848	991	176
849	992	175
850	992	173
851	993	172
852	994	171
853	995	170
854	995	168
855	996	167
856	997	166
857	997	165
858	998	163
859	999	162
860	1000	161
861	1001	160
862	1001	159
863	1002	157
864	1002	156
865	1003	155
866	1003	153
867	1004	152
868	1004	151
869	1004	150
870	1005	148
871	1007	147
872	1008	146
873	1009	145
874	1009	144
875	1010	143
876	1010	141
877	1011	140
878	1013	139
879	1014	138
880	1014	137
881	1015	135
882	1015	134
883	1016	133
884	1016	132
885	1017	130
886	1017	129
887	1018	128
888	1019	127
889	1019	126
890	1020	124
891	1020	123
892	1025	122
893	1026	121
894	1026	120
895	1027	119
896	1027	118
897	1028	116
898	1028	115
899	1029	114
900	1029	113
901	1030	111
902	1030	110
903	1031	109
904	1031	108
905	1032	107
906	1032	105
907	1033	104
908	1033	103
909	1034	102
910	1034	101
911	1035	99
912	1035	98
913	1038	97
914	1039	96
915	1039	95
916	1040	94
917	1040	92
918	1041	91
919	1041	90
920	1042	89
921	1042	88
922	1043	87
923	1043	85
924	1044	84
925	1045	83
926	1045	82
927	1046	81
928	1046	79
929	1047	78
930	1047	77
931	1047	76
932	1048	75
933	1048	74
934	1049	72
935	1049	71
936	1050	70
937	1050	69
938	1054	68
939	1054	67
940	1055	66
941	1055	64
942	1056	63
943	1056	62
944	1057	61
945	1057	60
946	1057	59
947	1058	58
948	1058	56
949	1059	55
950	1059	54
951	1060	53
952	1060	52
953	1061	51
954	1061	50
955	1062	48
956	1062	47
957	1063	46
958	1063	45
959	1064	44
960	1064	43
961	1065	42
962	1065	40
963	1068	39
964	1069	38
965	1069	37
966	1070	36
967	1070	35
968	1071	34
969	1071	33
970	1072	32
971	1072	30
972	1073	29
973	1073	28
974	1074	27
975	1075	26
976	1075	25
977	1076	24
978	1076	23
979	1076	21
980	1077	20
981	1077	19
982	1078	18
983	1078	17
984	1079	16
985	1079	15
986	1080	14
987	1080	13
988	1083	12
989	1084	10
990	1085	9
991	1085	8
992	1086	7
993	1086	6
994	1087	5
995	1087	4
996	1087	3
997	1088	2
998	1088	1
999	1089	0
